"X1" "X2"
"LATITUDE" 0.25974590772866 0.0537762457177177
"LONGITUDE" 0.25419962492519 0.0507024349614972
"ELEVATION" 0.226254168727313 0.0398481917465533
"TMAX" 0.218136428998159 0.0393485710188711
"TMIN" 0.251989008292988 0.0490616292543959
"del_TT_Deg_Celsius" 0.24397159293008 0.0461623051276588
"DMI" 0.263302525707202 0.0512483446324382
"Nino34" 0.253356956837052 0.0506119999377415
"u_wind_200" 0.256675832140085 0.0517081940296449
"u_wind_600" 0.254777721617048 0.0506179005503774
"u_wind_850" 0.256470061565531 0.0509397942237258
"v_wind_200" 0.253875392651248 0.049856240543863
"v_wind_600" 0.252875613194717 0.0493918824135499
"v_wind_850" 0.254731919068457 0.0512597150481788
"X20E" 0.260955121838765 0.0517996780962372
"X70E" 0.270122142465414 0.0538306371143393
"X80E" 0.269824812065978 0.0507647853829864
"X100E" 0.269931101984429 0.0526991221329319
"X120E" 0.262233734102074 0.0520876538441749
"X140E" 0.259995534346305 0.0506071967806713
"X160E" 0.262028428090566 0.0512812753247919
"X120W" 0.254179220691378 0.0451271634783133
"X40W" 0.262895144185201 0.0516751064495362
"X10W" 0.262351751398648 0.0508676325667288
"NAO" 0.25702982341022 0.0503590536018941
"EA" 0.257314844445424 0.0491655596669223
"WP" 0.255676098143165 0.049189948364474
"EPNP" 0.25439521795795 0.0482459213895248
"PNA" 0.259040293262385 0.0510360149657924
"EAWR" 0.253907613661336 0.0517975813752102
"SCA" 0.259282650428718 0.0513180088238411
"TNH" 0.253772977902835 0.0493412394282214
"POL" 0.252619055798578 0.0504403023514402
"SolarFlux" 0.251879323849844 0.0515979625487182
"TempAnomaly" 0.217425902386221 0.0411776559195179
"full" 0.256178519819779 0.0515370220659529
