"X1" "X2"
"LATITUDE" 0.260140740111851 0.0533308476486216
"LONGITUDE" 0.25594298748058 0.0507836938909041
"ELEVATION" 0.238747529459846 0.0439659686215882
"TMAX" 0.233004573037084 0.0427308518429885
"TMIN" 0.256921401557609 0.0517326244440652
"del_TT_Deg_Celsius" 0.252699643885503 0.0497544463198641
"DMI" 0.266967620990409 0.0495699152469509
"Nino34" 0.257207675038781 0.0516190944084702
"u_wind_200" 0.257840055758037 0.0523140418441455
"u_wind_600" 0.256027980242534 0.0514107053072267
"u_wind_850" 0.260198347793823 0.0530286602462959
"v_wind_200" 0.255161755589644 0.0512512378408696
"v_wind_600" 0.255120077419921 0.0513134394501201
"v_wind_850" 0.256402210934447 0.0506093495505918
"X20E" 0.266266800363632 0.0519738265983664
"X70E" 0.270415902899163 0.0538793946934936
"X80E" 0.274700987062157 0.0515327290334712
"X100E" 0.270599444931312 0.0531792017115632
"X120E" 0.266155004887855 0.0557630096902996
"X140E" 0.264208292682845 0.0516644291981893
"X160E" 0.265135107715549 0.0516432235625156
"X120W" 0.265083939603442 0.0475927239028731
"X40W" 0.26309480945084 0.0511897308222396
"X10W" 0.266452982770151 0.0542597548327674
"NAO" 0.258470186721006 0.0512596063179307
"EA" 0.261881349253731 0.0514919197279506
"WP" 0.257426443283709 0.0510527038658668
"EPNP" 0.258604935911718 0.0517287849404141
"PNA" 0.260011248845643 0.05270643860976
"EAWR" 0.256546718655162 0.0516205875869703
"SCA" 0.261406044695307 0.0520793201457546
"TNH" 0.259804455418791 0.0489399501508126
"POL" 0.259163088232092 0.0514824393274562
"SolarFlux" 0.256643074960074 0.0515078429788638
"TempAnomaly" 0.233959702385404 0.0421972424926279
"full" 0.25524848117383 0.0510644589970318
