"X1" "X2"
"LATITUDE" 0.258780800480439 0.052272043074569
"LONGITUDE" 0.252809172343976 0.0494963249712729
"ELEVATION" 0.214070867128715 0.0369998677838633
"TMAX" 0.201932223112186 0.0345957591431056
"TMIN" 0.251262158091976 0.0507548129798283
"del_TT_Deg_Celsius" 0.236905954049057 0.0440716375606947
"DMI" 0.261968573441549 0.0489926220692024
"Nino34" 0.246678587927812 0.0476985699977538
"u_wind_200" 0.255297283486706 0.050957275121871
"u_wind_600" 0.257316211783104 0.051956855101073
"u_wind_850" 0.257339333075793 0.0514904811530099
"v_wind_200" 0.254269527502815 0.0518077084764786
"v_wind_600" 0.254502801894542 0.0517743350215746
"v_wind_850" 0.254832302945597 0.0512003167320773
"X20E" 0.256596290518371 0.0478859942370266
"X70E" 0.271529301951577 0.0551803631892033
"X80E" 0.266320079505699 0.0481339046418066
"X100E" 0.268351349084399 0.0544508116135436
"X120E" 0.261894511321513 0.0534293264175351
"X140E" 0.255173536655986 0.0484925690422633
"X160E" 0.255923895139473 0.0478664161053545
"X120W" 0.245371706413425 0.0380861151738024
"X40W" 0.256166793205734 0.0515754476210435
"X10W" 0.26137864552605 0.0501188945272198
"NAO" 0.255150631507512 0.0487828784254632
"EA" 0.255867363947955 0.0498605238740944
"WP" 0.25430235985392 0.0511631719642859
"EPNP" 0.251238777318172 0.0493557393806338
"PNA" 0.259303076802428 0.0504322714846709
"EAWR" 0.25279222046459 0.0502590419594513
"SCA" 0.260796713828463 0.0532290434610705
"TNH" 0.251029115754851 0.0464906063064897
"POL" 0.251310941857788 0.0481255022635352
"SolarFlux" 0.248547156840709 0.0500275261941127
"TempAnomaly" 0.198277520132993 0.0334967667318326
"full" 0.255793434457919 0.0514480531375846
