"X1" "X2"
"LATITUDE" 0.251700115299404 0.050052814480212
"LONGITUDE" 0.248570762255817 0.0488115375259933
"ELEVATION" 0.239824908916787 0.0463450437848113
"TMAX" 0.231461346396321 0.0426245491118296
"TMIN" 0.24936791037966 0.0492049473599977
"del_TT_Deg_Celsius" 0.248592462143901 0.0484721923636068
"DMI" 0.250911171101813 0.0501335351082101
"Nino34" 0.249689650993226 0.0489972663728731
"u_wind_200" 0.248236554934693 0.0504778159663739
"u_wind_600" 0.248770731314224 0.0487324408755521
"u_wind_850" 0.249131998614584 0.0506058567434683
"v_wind_200" 0.24923020692867 0.0497472259583775
"v_wind_600" 0.248479520140517 0.049459383754696
"v_wind_850" 0.246912267616229 0.0487519086124046
"X20E" 0.2634377744374 0.0530765308961337
"X70E" 0.25949905526641 0.0514747316843401
"X80E" 0.263976722298803 0.0501306545851204
"X100E" 0.259872240589229 0.0517886093537573
"X120E" 0.255626031673806 0.0492450076169453
"X140E" 0.256069405566907 0.0509923803541174
"X160E" 0.260807904842254 0.0531917062413169
"X120W" 0.266682696800114 0.0559868605278343
"X40W" 0.253907862848829 0.0484083884907126
"X10W" 0.258853025038989 0.0528775130170567
"NAO" 0.249974712679317 0.0493527194667814
"EA" 0.25307290260165 0.0500079556822794
"WP" 0.250172116462264 0.0491772452320876
"EPNP" 0.250726862783431 0.0493591537672443
"PNA" 0.256379074153087 0.050016677342968
"EAWR" 0.248181515082991 0.0490930868385499
"SCA" 0.252865054532153 0.0505043518151519
"TNH" 0.254477927335406 0.0502140247732017
"POL" 0.250273110994764 0.0486058334251783
"full" 0.250592220264549 0.0511287529650348
